countryname,countrycode,ISO,region,income level,entity,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Colombia,COL,170,Latin America & Caribbean,High income: nonOECD,country,50.32673996,50.31852257,50.31026563,50.30166,50.29232097,50.28213215,50.27089267,50.25903473,50.24776536,50.23850972,50.23208152,50.22896262,50.22854776,50.22928674,50.22918436,50.2270694,50.22252925,50.21651701,50.2108431,50.2078521,50.20900821,50.21477132,50.22437264,50.23655732,50.24964348,50.26257521,50.27482035,50.28691085,50.30009371,50.31602011,50.33560623,50.35913402,50.38563717,50.41328166,50.43972009,50.46338094,50.4838808,50.50178923,50.51771727,50.53259503,50.54710604,50.5612872,50.57501122,50.58857856,50.60232084,50.61646778,50.63115616,50.64634317,50.66185526,50.67742454,50.69286729,50.70815593,50.723361,50.7385151,50.75367441,50.768872
Comoros,COM,174,Sub-Saharan Africa,Upper middle income,country,50.25061993,50.24448986,50.23645876,50.22728993,50.21694394,50.20544077,50.19280696,50.17940739,50.16590949,50.15360262,50.14292406,50.13404826,50.12678882,50.11960885,50.11188289,50.10241544,50.09161721,50.07949299,50.06647289,50.05222239,50.03662671,50.01961344,50.00137047,49.9820928,49.96230736,49.94255428,49.92278317,49.90318476,49.88379912,49.86464121,49.84583663,49.82739103,49.80942733,49.79191859,49.77493465,49.75811866,49.74167257,49.72567988,49.71029259,49.69610926,49.68303584,49.67134144,49.66077424,49.65106022,49.64172693,49.63257639,49.62339109,49.61456967,49.6059596,49.59778249,49.59016452,49.58308425,49.57657556,49.57063817,49.56538453,49.56079719
"Congo, DemRep.",COD,180,Sub-Saharan Africa,Upper middle income,country,52.2338307,52.1540711,52.07663095,52.00138331,51.92823265,51.85717397,51.78825721,51.72153796,51.65699026,51.59448075,51.53382061,51.47481818,51.41737161,51.3615158,51.30742064,51.25525303,51.20505414,51.15676537,51.11026233,51.06528228,51.02152879,50.97871301,50.93674354,50.89572521,50.85592562,50.817579,50.78096174,50.74595525,50.71211747,50.67896994,50.64639789,50.61443503,50.58354982,50.55438064,50.52741016,50.50263112,50.47972945,50.45814424,50.43731976,50.41677355,50.3963003,50.37597412,50.35592798,50.3361798,50.3167117,50.29750291,50.27858761,50.26002812,50.24185204,50.22408534,50.2067708,50.18990451,50.17356379,50.15795035,50.1433043,50.1297737
"Congo, Rep.",COG,178,Sub-Saharan Africa,Upper middle income,country,50.58253854,50.56107604,50.54031852,50.52056449,50.50212941,50.48522979,50.46989947,50.45574454,50.44195078,50.42753968,50.41195725,50.39511288,50.37733257,50.35920855,50.3412854,50.32401571,50.30752517,50.29161776,50.27624147,50.26130677,50.24665758,50.2323769,50.21859954,50.20558082,50.19374716,50.18323632,50.17392997,50.1656596,50.15854172,50.15254595,50.14768694,50.14397225,50.14109866,50.13830208,50.1346056,50.1294429,50.12262586,50.11445422,50.10550249,50.09635653,50.08746429,50.07897589,50.07069678,50.06237311,50.05368353,50.04450362,50.03485829,50.02506954,50.01569361,50.00728969,50.00019675,49.99448226,49.98992111,49.98614124,49.98270796,49.97933048
Costa Rica,CRI,188,Latin America & Caribbean,High income: nonOECD,country,49.14413799,49.15422022,49.16301534,49.17137753,49.18033747,49.19053236,49.20219293,49.2149989,49.22879207,49.24309701,49.25773701,49.27274298,49.28825586,49.30421938,49.32058389,49.33727788,49.35412263,49.37109525,49.388457,49.40654349,49.42550336,49.44552584,49.4662979,49.48685911,49.50616068,49.52357511,49.53887667,49.55260994,49.56601326,49.58056651,49.59718914,49.61585865,49.63605112,49.65736358,49.67933486,49.70148892,49.72390222,49.74636988,49.7679415,49.78755302,49.80458291,49.81890512,49.83094639,49.8413464,49.85093284,49.86031734,49.86954574,49.87853204,49.88766242,49.89732103,49.90771731,49.91904118,49.9311367,49.94347099,49.9553557,49.96630511
Cote d'Ivoire,CIV,384,Sub-Saharan Africa,Upper middle income,country,48.91315109,48.84476309,48.76969755,48.68945121,48.60575231,48.52020469,48.4338374,48.34785302,48.26400556,48.18414109,48.10971718,48.04127273,47.97915942,47.92408084,47.87664301,47.83701247,47.80550358,47.78164301,47.76399098,47.75086921,47.7414023,47.73454909,47.73103839,47.7335186,47.74519263,47.76748609,47.80042904,47.84169305,47.88748855,47.93325465,47.97600409,48.01555309,48.05293699,48.08828288,48.1220177,48.15480612,48.18591436,48.21606928,48.24885835,48.28869121,48.33814709,48.39829838,48.46723278,48.54082308,48.61333083,48.68061031,48.74145804,48.7969095,48.84775949,48.89550671,48.94121994,48.98471048,49.02559353,49.06450645,49.10224968,49.13937177
Croatia,HRV,191,Europe & Central Asia,Upper middle income,country,51.97780202,51.93221933,51.87865422,51.8220599,51.76932133,51.72521091,51.69139575,51.66617248,51.64689482,51.62958712,51.61144752,51.59163994,51.57145792,51.55282964,51.53861471,51.53070474,51.52923694,51.53304596,51.54101286,51.5515414,51.56315856,51.57644256,51.59102245,51.60343018,51.60931276,51.60607763,51.59204964,51.56941182,51.54408033,51.52409924,51.51522892,51.51872803,51.53298299,51.55724192,51.58971008,51.62850067,51.6744691,51.72689439,51.77997757,51.82577557,51.85838342,51.87471447,51.87620899,51.86706303,51.85388063,51.8416393,51.83137622,51.82191698,51.81343835,51.80564193,51.79823581,51.79179898,51.78659277,51.7815651,51.77526103,51.76657783
Cuba,CUB,192,Latin America & Caribbean,High income: nonOECD,country,48.91052941,48.95812357,49.00366477,49.04470897,49.07843679,49.10353816,49.11917102,49.12725734,49.13251342,49.14094524,49.15639171,49.18048681,49.21136685,49.24521453,49.27684576,49.30305787,49.3223891,49.336724,49.35020136,49.36851092,49.39525745,49.43221108,49.47703004,49.5240918,49.56547634,49.59564574,49.61274579,49.61910655,49.6185211,49.61648314,49.61697519,49.62027092,49.62539733,49.63345409,49.64549011,49.66191236,49.68395414,49.7106977,49.73773972,49.75914457,49.77088254,49.77135754,49.76242206,49.74776718,49.73278307,49.72142922,49.71467022,49.71153513,49.71169344,49.71421849,49.7183841,49.72434488,49.73232401,49.74169868,49.7516458,49.76152727
Curacao,CUW,531,Latin America & Caribbean,High income: nonOECD,country,49.87592466,50.02142095,50.2062754,50.40473463,50.57852614,50.70288924,50.76813069,50.7840772,50.77251314,50.76209831,50.77244404,50.80887459,50.86304144,50.92753955,50.99007255,51.04287293,51.08490189,51.12080367,51.1535156,51.18797926,51.22740633,51.27153238,51.32011316,51.37447855,51.43623821,51.50789692,51.58970805,51.68220294,51.78452268,51.8970254,52.01671735,52.14376564,52.27509314,52.40597687,52.53018025,52.64306465,52.74790289,52.84520807,52.93180905,52.99973197,53.04501858,53.05708868,53.04062971,53.02591184,53.05359595,53.15074422,53.32696593,53.55886193,53.79873125,53.99080594,54.10589072,54.13791728,54.10466587,54.02905952,53.94413307,53.87301769
Cyprus,CYP,196,Europe & Central Asia,Upper middle income,country,50.8382365,50.84291155,50.86940942,50.90411689,50.92710528,50.92405645,50.89140645,50.8347652,50.75949346,50.67371481,50.58317946,50.48948233,50.39219745,50.29231203,50.1907883,50.08918746,49.98737693,49.88700701,49.79339088,49.7119908,49.6461951,49.59872195,49.5675217,49.54471713,49.52022095,49.48720536,49.4424011,49.39050015,49.34207042,49.31102847,49.30558001,49.32706624,49.36914545,49.42270161,49.47597012,49.52086127,49.55510818,49.58006496,49.59539227,49.6016709,49.59911459,49.5895919,49.57244896,49.54315484,49.49582951,49.4281348,49.33735129,49.22881547,49.11774264,49.02355464,48.95925921,48.92938125,48.92823272,48.94582587,48.96771834,48.983781
Czech Republic,CZE,203,Europe & Central Asia,Upper middle income,country,51.36807757,51.35327926,51.32953269,51.30661856,51.29785683,51.31183966,51.35265208,51.41532113,51.48817963,51.55426796,51.60113995,51.62464889,51.62865136,51.61834969,51.60210381,51.58611934,51.57134883,51.5562568,51.54150111,51.52737446,51.51407544,51.50208379,51.49178366,51.4831007,51.47577606,51.469608,51.46472576,51.46109222,51.45805587,51.45473195,51.45045367,51.44499072,51.43844597,51.43090586,51.42261587,51.41375075,51.40338397,51.39126703,51.37896501,51.36867037,51.36146218,51.35970276,51.36173402,51.35984229,51.34350585,51.30610993,51.24410552,51.1625057,51.07350617,50.99332487,50.93288353,50.89577211,50.87800935,50.87340216,50.87242639,50.86810571
Denmark,DNK,208,Europe & Central Asia,Upper middle income,country,50.37795467,50.38622436,50.39623125,50.40490551,50.40829928,50.40411641,50.39086502,50.37065003,50.34907097,50.33370421,50.3297487,50.33877797,50.35875879,50.38680034,50.41847886,50.45048801,50.48197211,50.51342673,50.54446845,50.57501224,50.6047798,50.63363362,50.66082872,50.68480627,50.703594,50.71584352,50.7208287,50.71907694,50.7120262,50.70186561,50.6902667,50.67783092,50.66443589,50.65020033,50.63505011,50.61902518,50.60211637,50.58475182,50.56780179,50.55237329,50.53915276,50.52876872,50.52076174,50.51340779,50.50426542,50.49177768,50.47527008,50.45566224,50.43491695,50.41566833,50.3998138,50.38793511,50.37939843,50.37333581,50.36838803,50.36357745
Djibouti,DJI,262,Middle East & North Africa,Upper middle income,country,50.29413171,50.28644391,50.28025478,50.27330007,50.26676829,50.25877891,50.24579223,50.22716376,50.21109062,50.20648338,50.21450895,50.24207357,50.27955717,50.29810639,50.26589393,50.17485793,50.03358553,49.87284869,49.72600117,49.61725362,49.55203922,49.52506519,49.52526752,49.54493164,49.57351782,49.60233311,49.62910249,49.65411428,49.67511744,49.69095041,49.70171121,49.70745678,49.7090404,49.7083141,49.70779131,49.7091106,49.71271624,49.71792942,49.7238835,49.72940342,49.73386367,49.73708874,49.73942229,49.74122983,49.74284955,49.74460629,49.74643224,49.74847024,49.75081487,49.75374864,49.7573429,49.76170168,49.76678323,49.77248385,49.77846866,49.78470729
Dominica,DMA,212,Latin America & Caribbean,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,214,Latin America & Caribbean,High income: nonOECD,country,49.36826795,49.38254099,49.39749114,49.41244337,49.42657749,49.439462,49.45080156,49.46087459,49.47042677,49.48042255,49.49146302,49.50366154,49.51662155,49.52969023,49.54205334,49.55319816,49.56311887,49.57207928,49.58023061,49.587768,49.59488032,49.6016802,49.60831188,49.61505953,49.622251,49.6301737,49.63883134,49.64832482,49.65901884,49.67137303,49.68560533,49.70178641,49.71968458,49.73887412,49.75880466,49.77909184,49.79960429,49.82037059,49.84134637,49.86250041,49.88377977,49.90512384,49.92641769,49.94751755,49.96826869,49.988563,50.00833926,50.02761897,50.04648476,50.06507649,50.0834766,50.10171395,50.11974354,50.13750062,50.15489706,50.17187337
Ecuador,ECU,218,Latin America & Caribbean,High income: nonOECD,country,50.00615987,49.98221028,49.95888127,49.93626022,49.91448131,49.89364053,49.87379969,49.85496915,49.83719857,49.82050367,49.80492448,49.79046481,49.77717914,49.76519665,49.75467789,49.74572061,49.73827196,49.73226375,49.72771226,49.72462423,49.7229657,49.72274884,49.7238332,49.72591897,49.72860733,49.7316763,49.73503988,49.73880834,49.74312516,49.74819041,49.75414669,49.76087345,49.76830969,49.7767368,49.78648639,49.79770249,49.81045887,49.82444012,49.83892073,49.85302077,49.86615298,49.87813117,49.88916816,49.89950789,49.9095424,49.91952084,49.9294433,49.93918896,49.9487112,49.95795474,49.96687578,49.97549627,49.98382891,49.99185892,49.99955983,50.00692192
Egypt,EGY,818,Middle East & North Africa,Upper middle income,country,49.35654571,49.34316615,49.32996661,49.31888455,49.31237643,49.31188701,49.31759709,49.32844557,49.343066,49.35970222,49.3771065,49.39561324,49.41545617,49.43538589,49.45389702,49.47028835,49.48300959,49.49314804,49.50545926,49.52592923,49.55775886,49.60164772,49.65397169,49.70836658,49.75685551,49.79414186,49.81993544,49.83606344,49.84257244,49.83996548,49.82920007,49.80932687,49.78174033,49.75220174,49.72789986,49.71328445,49.71032993,49.71641691,49.72584527,49.73095998,49.72680653,49.71219733,49.68966436,49.66257853,49.63556477,49.61175302,49.59189064,49.57491513,49.55990749,49.54545699,49.53072972,49.5156851,49.50105825,49.48769949,49.47664018,49.4684863
El Salvador,SLV,222,Latin America & Caribbean,High income: nonOECD,country,50.7130378,50.66016096,50.60195822,50.54148285,50.48194152,50.42601861,50.37419497,50.32763204,50.28990408,50.26499811,50.25519327,50.26080592,50.28020793,50.31106831,50.35049697,50.39612781,50.4471947,50.50322063,50.56269498,50.62405015,50.68603483,50.74852893,50.81113498,50.87207943,50.92931819,50.98156203,51.02831068,51.07050141,51.11018359,51.15005707,51.19221292,51.23690801,51.28407227,51.33477143,51.39030089,51.45153391,51.51885498,51.59202783,51.67048897,51.75327149,51.83950476,51.92894874,52.02127028,52.11523474,52.20932546,52.30230801,52.39355944,52.48275512,52.56934355,52.65281909,52.73273663,52.80868964,52.8803819,52.94772568,53.01073758,53.06941896
Equatorial Guinea,GNQ,226,Sub-Saharan Africa,Upper middle income,country,51.02076433,51.02900823,51.03628751,51.04180237,51.04384252,51.04202623,51.03495843,51.02444724,51.01610317,51.01638963,51.03006136,51.05382307,51.08473442,51.12862473,51.19136814,51.27392545,51.39283385,51.53708612,51.63458501,51.58268764,51.32612588,50.86805705,50.30421686,49.76152914,49.33782914,49.06283893,48.92217038,48.87675143,48.89079461,48.92064873,48.93829019,48.93911333,48.9315261,48.91768581,48.90176986,48.88653944,48.8711722,48.85377504,48.83404187,48.81181735,48.78733311,48.76039832,48.73217255,48.70580055,48.68451223,48.67048218,48.66412273,48.6641594,48.6691644,48.67688131,48.68603422,48.69626244,48.70775168,48.72033241,48.73398832,48.74849123
Eritrea,ERI,232,Sub-Saharan Africa,Upper middle income,country,50.55401593,50.54905408,50.54402125,50.5402695,50.53934827,50.54219547,50.5489056,50.55855774,50.5694794,50.57958637,50.58726765,50.5925113,50.59535868,50.59511531,50.59084665,50.5822539,50.56922471,50.552493,50.53344344,50.51376177,50.49470229,50.47681267,50.45997929,50.44392691,50.4283151,50.41293412,50.39746534,50.38234469,50.36893955,50.35869305,50.35218884,50.34961229,50.34991586,50.35103661,50.3501573,50.34510658,50.33557131,50.32217878,50.30508863,50.28472243,50.26162919,50.23589565,50.20828648,50.18040387,50.15390073,50.12951912,50.10735427,50.0867735,50.06672387,50.04603195,50.0240529,50.00070988,,,,
Estonia,EST,233,Europe & Central Asia,Upper middle income,country,55.85336008,55.68624997,55.50567104,55.31839596,55.13359379,54.95773912,54.7915174,54.63425616,54.48964269,54.36179423,54.25301198,54.16474919,54.09519811,54.03915775,53.98974259,53.94171876,53.8934013,53.84548793,53.79812681,53.75228411,53.70844233,53.66848211,53.6317984,53.59389673,53.54906331,53.49460123,53.42514088,53.34528469,53.27326728,53.23253831,53.23754887,53.299356,53.41108662,53.545749,53.65993089,53.71871415,53.7038735,53.62675372,53.51659713,53.41706671,53.3587298,53.3512388,53.38362014,53.4399697,53.49488724,53.52919828,53.53813523,53.52762505,53.50153477,53.46699471,53.42953812,53.38935958,53.34468747,53.29676906,53.2471055,53.1968873
Ethiopia,ETH,231,Sub-Saharan Africa,Upper middle income,country,50.29279654,50.28741177,50.28245797,50.27775422,50.2730606,50.26821262,50.26331866,50.25844181,50.25335809,50.2478301,50.24180363,50.23511455,50.22809187,50.22165588,50.21687133,50.21431879,50.21384067,50.21491096,50.21717489,50.22012513,50.22317837,50.22683007,50.23065646,50.23231691,50.22907692,50.2196427,50.20337856,50.18214194,50.16000127,50.14192523,50.13088598,50.12741492,50.12965,50.13511365,50.1406816,50.14433264,50.14585347,50.14590612,50.14460062,50.1422266,50.13902843,50.13497409,50.13009586,50.12476756,50.11943446,50.11440973,50.10977552,50.10551357,50.10168681,50.09833932,50.0954914,50.09315292,50.09130968,50.08992329,50.08893887,50.08830198
Faeroe Islands,FRO,234,Europe & Central Asia,Upper middle income,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,242,East Asia & Pacific,Upper middle income,country,48.49523238,48.52855936,48.63085185,48.76801893,48.8966638,48.99026481,49.04425303,49.07165446,49.08606558,49.10616706,49.1432754,49.20024605,49.26945106,49.33993131,49.39722597,49.43218081,49.44248991,49.43318769,49.41199446,49.38950126,49.37300868,49.36470458,49.36171423,49.35999848,49.35433759,49.34105047,49.31946091,49.29148914,49.26049704,49.23146349,49.20837302,49.19174024,49.18042695,49.17472822,49.17444421,49.17859234,49.18869721,49.20332619,49.2165575,49.22045297,49.21001993,49.18332381,49.14324174,49.0955468,49.04876246,49.00975883,48.98004569,48.95888366,48.94770673,48.94782439,48.95959309,48.98383193,49.01974243,49.06318889,49.1090304,49.15322061
Finland,FIN,246,Europe & Central Asia,Upper middle income,country,51.83967958,51.80560609,51.77493196,51.74858,51.72755333,51.71229591,51.70349438,51.70042563,51.70050462,51.70021282,51.69703521,51.68972371,51.67911882,51.66730816,51.65735329,51.65126132,51.64962449,51.65122056,51.65393668,51.65479749,51.65169494,51.6438692,51.63195808,51.6169551,51.6003371,51.58315041,51.56579785,51.54781226,51.52820562,51.5056637,51.47944384,51.44917107,51.41569899,51.38093418,51.34734127,51.3165952,51.28931388,51.26486285,51.24212411,51.21945175,51.19565759,51.17042752,51.14413017,51.11716982,51.09014577,51.06349764,51.03748149,51.01185726,50.98604298,50.95919191,50.93076299,50.90058668,50.86908929,50.83708031,50.80568867,50.77568517
France,FRA,250,Europe & Central Asia,Upper middle income,country,51.3610378,51.30638552,51.24912102,51.19114319,51.13484936,51.08173811,51.03233383,50.98606756,50.94206214,50.89918927,50.85702828,50.81540099,50.77541729,50.73945665,50.71045002,50.69028387,50.6792802,50.67656673,50.68123627,50.69187994,50.70719926,50.72716469,50.75130563,50.77732827,50.80240736,50.8245741,50.84277351,50.85748183,50.87020672,50.88325021,50.89823299,50.91558068,50.93466501,50.9548011,50.97493062,50.99433909,51.01271286,51.03041532,51.04818765,51.06705149,51.08762104,51.11009337,51.13391531,51.15803383,51.18106128,51.20203391,51.22030938,51.23608449,51.25023494,51.26404711,51.27824091,51.29347895,51.3089356,51.32210624,51.32962553,51.32931891
French Polynesia,PYF,258,East Asia & Pacific,Upper middle income,country,48.5803568,48.61968131,48.64322089,48.65901266,48.67860471,48.70612158,48.745994,48.79087483,48.82816656,48.83864568,48.81353171,48.75121379,48.66037082,48.55379837,48.44840809,48.35360859,48.27412185,48.20655735,48.14413457,48.07771947,48.00266312,47.91602663,47.82419522,47.74380929,47.69508853,47.68960321,47.73225819,47.81193568,47.90715814,47.98892144,48.04103443,48.05662806,48.04524794,48.02566847,48.02395266,48.05576208,48.12524512,48.22199576,48.33172782,48.43489758,48.51875735,48.58170726,48.62875053,48.662568,48.68810338,48.70921674,48.72560926,48.73733009,48.7478935,48.76230163,48.78331748,48.81231033,48.84850699,48.88895312,48.93005601,48.96945863
Gabon,GAB,266,Sub-Saharan Africa,Upper middle income,country,51.19283478,51.21981697,51.25910641,51.31578438,51.39568494,51.50006009,51.63188723,51.78222881,51.92744726,52.03921718,52.10016963,52.10508298,52.0637582,51.9918351,51.91141225,51.83794841,51.77485108,51.71791993,51.66524166,51.61297123,51.55842642,51.50235489,51.44673066,51.39139307,51.33636436,51.28184741,51.22696618,51.17182912,51.1178926,51.06707185,51.01993239,50.9772533,50.9371908,50.89493658,50.84472783,50.78305562,50.7092698,50.62578792,50.53626502,50.44535484,50.35629955,50.27034318,50.18678366,50.10458291,50.02204042,49.93863303,49.8541436,49.77042158,49.69149939,49.62220418,49.56548132,49.52209411,49.49026613,49.46711336,49.4488565,49.43279167
Gambia,GMB,270,Sub-Saharan Africa,Upper middle income,country,50.8092594,50.69544721,50.56358777,50.40481147,50.20909791,49.97617652,49.7016037,49.40217417,49.12328529,48.92106471,48.82948827,48.85319855,48.97015624,49.15159433,49.36143949,49.57356977,49.78514529,49.99501652,50.18280183,50.32632379,50.41158494,50.43835034,50.41561118,50.35188569,50.25937923,50.14984456,50.02452394,49.89131165,49.77202097,49.68915481,49.65396358,49.66740039,49.72016973,49.79976118,49.88978678,49.97832504,50.06374112,50.14723293,50.22402914,50.2894578,50.34076215,50.37625197,50.39765263,50.409562,50.4180388,50.42720032,50.43774715,50.44857409,50.45920936,50.4686988,50.47649087,50.48279143,50.48807266,50.49242639,50.49598045,50.49881362
Georgia,GEO,268,Europe & Central Asia,Upper middle income,country,53.44130888,53.38853638,53.33541778,53.2833614,53.2339137,53.18821851,53.14639574,53.10862737,53.07596138,53.04965804,53.03047781,53.01778444,53.01076077,53.00959543,53.01451217,53.02488761,53.04171292,53.06282726,53.08074439,53.0858286,53.07167548,53.03680197,52.98444248,52.91905744,52.84720324,52.77440704,52.70113956,52.62834203,52.5619596,52.50846503,52.4718656,52.45412479,52.45395112,52.46784127,52.48996379,52.51554969,52.54231548,52.57067917,52.60117688,52.63539229,52.67387091,52.71787832,52.76463421,52.80587186,52.83029252,52.82984971,52.79990499,52.74351699,52.66988849,52.59297756,52.52333339,52.4642664,52.41362481,52.37019277,52.33101036,52.29398282
Germany,DEU,276,Europe & Central Asia,Upper middle income,country,53.50455758,53.4152312,53.30291991,53.17977029,53.06236247,52.96231697,52.88267528,52.81992231,52.77076961,52.72959725,52.69205933,52.65800773,52.62824049,52.60041281,52.5717812,52.54043524,52.50414184,52.46305664,52.42052788,52.38149939,52.34894909,52.32494284,52.30670973,52.28657582,52.2539676,52.20166727,52.12771413,52.03573891,51.9312081,51.82210256,51.71484895,51.61066467,51.50986051,51.41648138,51.33469018,51.26694064,51.21468257,51.17676719,51.14963039,51.1281689,51.10858813,51.08947943,51.0714643,51.05516854,51.04192891,51.0324388,51.02704178,51.02440723,51.02160385,51.01473882,51.00115177,50.97950859,50.95097226,50.9184554,50.88615019,50.85705908
Ghana,GHA,288,Sub-Saharan Africa,Upper middle income,country,49.18754984,49.16963335,49.15417666,49.14040413,49.12729264,49.11431057,49.10084816,49.08750196,49.07634952,49.07011096,49.07038835,49.0775577,49.09012146,49.10557746,49.120944,49.13433059,49.14532102,49.15450011,49.16229578,49.16936868,49.17604801,49.1833675,49.19105942,49.19701592,49.19874364,49.19541456,49.18532735,49.17098411,49.16021884,49.16265899,49.18363496,49.22680289,49.28732633,49.35251512,49.40659184,49.44074608,49.4513785,49.44600825,49.44011372,49.45358098,49.49864526,49.57528334,49.67540473,49.79224734,49.91685178,50.04157645,50.16757326,50.29213592,50.4008904,50.47703461,50.51119483,50.50023662,50.4522508,50.38288238,50.3122009,50.25370584
Greece,GRC,300,Europe & Central Asia,Upper middle income,country,51.14491133,51.17812293,51.2234044,51.27044086,51.30535765,51.31861586,51.30664522,51.27333074,51.22576823,51.17434016,51.12660497,51.08408852,51.04495807,51.00935965,50.9768273,50.94706802,50.92107544,50.89928433,50.88006333,50.86108362,50.84067252,50.81810339,50.79389024,50.76907775,50.74531823,50.72379616,50.70498682,50.68838864,50.67313325,50.6579816,50.64221466,50.62611436,50.6104615,50.59565235,50.58216992,50.57054352,50.56014404,50.55152762,50.54770049,50.55257933,50.56860341,50.5973353,50.63720714,50.68372914,50.73048884,50.77289623,50.80855367,50.83883269,50.86745767,50.90009549,50.94052709,50.99038855,51.04743961,51.10689448,51.16163158,51.20624482
Greenland,GRL,304,Europe & Central Asia,Upper middle income,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,308,Latin America & Caribbean,High income: nonOECD,country,53.60278653,53.49550734,53.3779105,53.25642179,53.14141135,53.04137282,52.95748224,52.88641772,52.82318841,52.75976426,52.69088213,52.61414313,52.53201614,52.44422134,52.35155822,52.25357749,52.14852081,52.03632453,51.91871562,51.80025065,51.68868815,51.5903947,51.50659033,51.42997051,51.35006095,51.25766963,51.14632636,51.01780018,50.88157613,50.75512795,50.6553393,50.58835727,50.55092026,50.53610303,50.53469211,50.53813851,50.54664868,50.5592089,50.57057116,50.57225382,50.55796103,50.52577836,50.47600392,50.41564506,50.35214355,50.29188643,50.2358148,50.18390339,50.13470087,50.08725,50.04060109,49.99524127,49.95259585,49.91218296,49.87446991,49.83945706
Guam,GUM,316,East Asia & Pacific,Upper middle income,country,41.49922836,41.99609243,42.31183645,42.51006467,42.67604863,42.86955243,43.10347078,43.36491984,43.65299991,43.95797275,44.2739628,44.5968645,44.92892619,45.27793613,45.65391055,46.05587334,46.49319607,46.94591489,47.36319107,47.67983033,47.85702625,47.88986346,47.80600674,47.64059064,47.43903616,47.23871123,47.0402241,46.8472163,46.69425796,46.62144678,46.65241183,46.79340786,47.02551647,47.31368903,47.6114449,47.88749811,48.13791706,48.36799595,48.57067805,48.73758534,48.86498249,48.94800437,48.9897673,49.00363065,49.01007624,49.0230491,49.04720727,49.07915014,49.11565915,49.15175166,49.18276468,49.20861878,49.23129841,49.25176083,49.26973971,49.28745916
Guatemala,GTM,320,Latin America & Caribbean,High income: nonOECD,country,49.36341248,49.36447014,49.36813954,49.37402319,49.3816572,49.39073047,49.4012612,49.41335089,49.4269176,49.44182883,49.45808742,49.4756916,49.49479933,49.5158235,49.53926272,49.56547514,49.59496906,49.62776475,49.66323466,49.70051166,49.73921941,49.77862351,49.81949641,49.86461987,49.91744815,49.97990145,50.05252089,50.13340904,50.21907562,50.30498468,50.38797093,50.46616942,50.54024212,50.6124758,50.68611046,50.76274307,50.84285216,50.92383165,51.00058239,51.06679353,51.11849434,51.15501107,51.17841875,51.19109901,51.19632674,51.19660515,51.19246116,51.18403314,51.17280195,51.16034205,51.14777698,51.13572875,51.12424497,51.11310818,51.10187672,51.09026264
Guinea,GIN,324,Sub-Saharan Africa,Upper middle income,country,50.52634404,50.55449177,50.5788196,50.59969279,50.6174705,50.63252294,50.64487517,50.65481814,50.66322663,50.67117748,50.67938309,50.68829063,50.69761353,50.70640088,50.7132872,50.71727983,50.71794987,50.71560567,50.71083501,50.70462493,50.69761652,50.68984284,50.68094033,50.67083755,50.65927656,50.64600333,50.63117001,50.61461662,50.59555501,50.57337613,50.54815298,50.52077002,50.49222427,50.4628007,50.43212339,50.39953412,50.36456902,50.32714923,50.28742294,50.24606422,50.20405914,50.16132641,50.11834716,50.0774761,50.04163334,50.01262279,49.99140762,49.97683827,49.96610838,49.9554955,49.94259202,49.92686247,49.90930681,49.8910093,49.8734759,49.85770019
Guinea-Bissau,GNB,624,Sub-Saharan Africa,Upper middle income,country,50.64721848,50.65614609,50.66471103,50.67256473,50.67969849,50.68560115,50.69023856,50.69365611,50.69583403,50.69672078,50.69651657,50.69537278,50.69345375,50.69020854,50.68551349,50.67914223,50.6709312,50.66153019,50.65202454,50.64395229,50.6383209,50.63550598,50.63502213,50.63617396,50.63815885,50.6401987,50.64195131,50.64350351,50.64512009,50.64731985,50.65015603,50.65344925,50.65655359,50.65857843,50.65850814,50.65557209,50.65028674,50.64263247,50.63081947,50.61243571,50.58667913,50.55282418,50.51294588,50.47163619,50.43469273,50.40593827,50.38635678,50.37444135,50.36825247,50.36497265,50.3626248,50.36094816,50.36037139,50.36041563,50.36081383,50.36124327
