countryname,countrycode,ISO,region,income level,entity,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Congo, DemRep.",COD,180,Sub-Saharan Africa,Low income,country,52.15407181,52.07662964,52.00138474,51.9282341,51.85717392,51.7882576,51.72153854,51.65699005,51.59448242,51.53382111,51.474823,51.41739273,51.36155701,51.30745697,51.25525284,51.20499802,51.15664291,51.11009979,51.06514359,51.02153015,50.97900772,50.93750381,50.89712906,50.85813522,50.82069778,50.78509903,50.75120926,50.71852875,50.68655014,50.6551857,50.62448883,50.59499741,50.56746292,50.54245758,50.52001572,50.4999733,50.4817543,50.46449661,50.44732666,50.42988586,50.41209412,50.39448547,50.37805557,50.36395645,50.35282516,50.34474945,50.33925247,50.33563232,50.33298492,50.33070755,50.32866287,50.32699063,50.32576436
"Congo, Rep.",COG,178,Sub-Saharan Africa,Lower middle income,country,50.56108093,50.54032898,50.52058029,50.50218582,50.48522949,50.46983337,50.45560837,50.44179916,50.42744446,50.41195679,50.39531326,50.37784958,50.35997009,50.34230804,50.32521439,50.3087883,50.29296112,50.27775955,50.26293564,50.24866104,50.23481369,50.22160721,50.20946503,50.19885254,50.19009781,50.18301392,50.17736435,50.17290115,50.16944885,50.16672516,50.16473007,50.16320801,50.16126251,50.15795898,50.152668,50.14530563,50.13627625,50.12604141,50.11525726,50.10434341,50.09336853,50.0823288,50.07156372,50.06147003,50.05237198,50.04441071,50.03753662,50.0316658,50.02653122,50.02197266,50.01795197,50.01446836,50.01146678
Costa Rica,CRI,188,Latin America & Caribbean,Upper middle income,country,49.1267662,49.13743973,49.14811325,49.15913773,49.17079163,49.1816864,49.19157791,49.2028656,49.21850204,49.23950577,49.26863098,49.30290222,49.3315239,49.34102631,49.32390594,49.27730179,49.20869064,49.13322449,49.06973267,49.03005219,49.01662064,49.02351761,49.04331589,49.06597137,49.08478928,49.09884262,49.11021042,49.11922073,49.12678146,49.13350296,49.13914108,49.14332962,49.14647293,49.14914322,49.15170288,49.15430832,49.15689468,49.15939713,49.16170502,49.16380692,49.16563797,49.16740799,49.16942596,49.17215729,49.17585754,49.18063736,49.18632889,49.19259262,49.19894409,49.20507431,49.21089935,49.21652053,49.22207084
Cote d'Ivoire,CIV,384,Sub-Saharan Africa,Lower middle income,country,48.84476471,48.7696991,48.68944931,48.60575104,48.52020645,48.43383789,48.34785461,48.26400375,48.18413925,48.10971832,48.04127121,47.97916031,47.9240799,47.87664413,47.83701324,47.80546951,47.78152466,47.76380157,47.75071716,47.74140167,47.73480988,47.73156357,47.73418808,47.74571228,47.76748657,47.79956055,47.83964157,47.88391876,47.92776871,47.96820831,48.00505447,48.03944397,48.07165909,48.10232162,48.13220215,48.16057205,48.18810654,48.21837997,48.25580597,48.30303574,48.3613472,48.42896271,48.50167084,48.57353592,48.64021301,48.70032883,48.75501251,48.80540848,48.85343933,48.900383,48.94599915,48.98958908,49.03139315
Croatia,HRV,191,Europe & Central Asia,High income: nonOECD,country,51.96347046,51.94565964,51.93077469,51.92007828,51.91427231,51.91358948,51.91735077,51.92413712,51.93204117,51.93962479,51.94598007,51.95114899,51.95573425,51.96074295,51.96669388,51.9732933,51.97943115,51.98379135,51.98465347,51.98059845,51.97356415,51.96355057,51.94536591,51.91231155,51.86128998,51.78870773,51.70022202,51.61249542,51.54663086,51.51609802,51.52642059,51.57133865,51.63766479,51.70560837,51.76013947,51.79673767,51.81910706,51.8299408,51.83491516,51.83836365,51.84032822,51.83890915,51.83455658,51.82771301,51.81884384,51.80803299,51.79575348,51.78334427,51.77251053,51.76427078,51.75948334,51.757571,51.75643411
Cuba,CUB,192,Latin America & Caribbean,Upper middle income,country,48.95780945,49.00340271,49.04451752,49.07831573,49.10346222,49.11911392,49.1272049,49.13245392,49.14089966,49.15636826,49.18048859,49.21139908,49.24526596,49.27696609,49.30327988,49.32279587,49.33736038,49.35098267,49.3691597,49.39535522,49.43125916,49.47460938,49.52005386,49.56009674,49.58946228,49.60643005,49.61320877,49.61338043,49.61214447,49.61326218,49.61698532,49.62240219,49.63056564,49.64250183,49.65858459,49.68003845,49.70598984,49.73219681,49.75291824,49.76428604,49.76465988,49.7558403,49.74164963,49.72759247,49.71763229,49.7128334,49.71205902,49.71446228,49.71842194,49.72271347,49.72730255,49.7325826,49.73820814
Curacao,CUW,531,Latin America & Caribbean,High income: nonOECD,country,50.02141953,50.20627594,50.40473557,50.57852554,50.70288849,50.76813126,50.78407669,50.77251434,50.76209641,50.77244568,50.80887604,50.86304092,50.92753983,50.99007416,51.04287338,51.08490372,51.12080383,51.15351486,51.18798065,51.22740555,51.27153397,51.32011414,51.37447739,51.43623734,51.50789642,51.58970642,51.68220139,51.78452301,51.89702606,52.016716,52.1437645,52.27509308,52.40597534,52.53018188,52.64306641,52.74757004,52.84520721,52.93180847,52.99973297,53.04501724,53.06081772,53.05262756,53.04489517,53.06980133,53.15074539,53.29020691,53.47352982,53.68273544,53.89894485,54.10680389,54.30924606,54.50535439,54.68127992
Cyprus,CYP,196,Europe & Central Asia,High income: nonOECD,country,50.84291077,50.86940765,50.90411758,50.92710495,50.92405701,50.89140701,50.83476639,50.75949478,50.67371368,50.58317947,50.48948288,50.39219666,50.29231262,50.19078827,50.08918762,49.98737717,49.88700867,49.79339218,49.71199036,49.64619446,49.59872055,49.56752014,49.54471588,49.52022171,49.48720551,49.44240189,49.39049911,49.34207153,49.31102753,49.30558014,49.32706451,49.36914444,49.42270279,49.47597122,49.52086258,49.55510712,49.58006668,49.59539413,49.60166931,49.59911346,49.58943558,49.57213974,49.54265213,49.49547958,49.42813492,49.33817673,49.23087692,49.12054443,49.02585983,48.95925903,48.92509079,48.91797476,48.92863965
Czech Republic,CZE,203,Europe & Central Asia,High income: OECD,country,51.48970795,51.49895859,51.50590897,51.51263809,51.52060318,51.53006744,51.54034424,51.55073929,51.56023788,51.56803894,51.57402039,51.57832718,51.58077621,51.5811882,51.57951355,51.57572937,51.57001495,51.56272888,51.55435562,51.54528046,51.53544235,51.52492523,51.51439285,51.50474167,51.49653244,51.49018097,51.48537064,51.48107529,51.47583771,51.46861649,51.45914459,51.44776535,51.43481064,51.42079926,51.40616608,51.3899498,51.37194061,51.35411072,51.33918762,51.32861328,51.32474518,51.32569885,51.32355118,51.30748367,51.27052689,51.20942307,51.12889862,51.03960419,50.95585251,50.88741684,50.83721924,50.80197083,50.77745252
Denmark,DNK,208,Europe & Central Asia,High income: OECD,country,50.38622284,50.3962326,50.40490723,50.40829849,50.40411758,50.39086533,50.37065125,50.3490715,50.3337059,50.32975006,50.33877945,50.35875702,50.38679886,50.41847992,50.45048904,50.48197174,50.51342773,50.54446793,50.57501221,50.60477829,50.63363266,50.66082764,50.68480682,50.70359421,50.7158432,50.72082901,50.71907806,50.71202469,50.70186615,50.69026566,50.67782974,50.66443634,50.65019989,50.63505173,50.61902618,50.60211563,50.58475113,50.56780243,50.55237198,50.53915405,50.52878952,50.52084351,50.51352692,50.50437546,50.49177933,50.47507477,50.45527649,50.43439865,50.4152565,50.39981461,50.38863754,50.38109887,50.37650184
Djibouti,DJI,262,Middle East & North Africa,Lower middle income,country,50.28644562,50.28025436,50.27330017,50.26676941,50.25877762,50.2457962,50.22716904,50.2110939,50.20648956,50.21450806,50.24206924,50.2795372,50.298069,50.26584244,50.1748085,50.03337097,49.87254715,49.72583008,49.61706543,49.55197906,49.52498627,49.52516174,49.54491425,49.573452,49.60221863,49.62893295,49.65399551,49.67495728,49.69060516,49.70131683,49.70690155,49.70820236,49.70727539,49.70672226,49.7080574,49.71186066,49.71732712,49.7236824,49.72964478,49.73446655,49.73805237,49.74074173,49.74287796,49.74457169,49.7462616,49.74782181,49.74934006,49.75101852,49.75318146,49.7561264,49.75987625,49.76432324,49.76928329
Dominica,DMA,212,Latin America & Caribbean,Upper middle income,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,214,Latin America & Caribbean,Upper middle income,country,49.27760315,49.28872299,49.30035019,49.31158829,49.32181168,49.33079147,49.33868027,49.34572601,49.35232544,49.3587532,49.36503983,49.37113571,49.37709808,49.38294983,49.38874435,49.39458847,49.40053177,49.40663528,49.41292572,49.4194603,49.42630768,49.43356705,49.44136429,49.4498558,49.45914078,49.46922684,49.48016739,49.49219894,49.50558472,49.52048492,49.53686905,49.55458069,49.57343674,49.59320831,49.61368561,49.6348381,49.65658569,49.67865372,49.70070648,49.72250748,49.74393463,49.76499176,49.78570938,49.80615997,49.82640076,49.8463974,49.86611176,49.88555527,49.90476227,49.92375183,49.94252777,49.96108157,49.9794161
Ecuador,ECU,218,Latin America & Caribbean,Upper middle income,country,49.98729706,49.96362686,49.94072342,49.91876221,49.89784622,49.87800217,49.85923767,49.84158707,49.82507706,49.80971909,49.79558182,49.78267288,49.77093506,49.76025009,49.75061798,49.74189758,49.73418808,49.72787476,49.72341919,49.72106552,49.72087479,49.72253418,49.72546387,49.72893524,49.73246765,49.73594666,49.73950958,49.74329758,49.74751282,49.75231552,49.75769806,49.76361084,49.77011871,49.77730179,49.78518677,49.79375076,49.80296707,49.81289673,49.82358932,49.8350563,49.84725189,49.86006546,49.87334061,49.88690567,49.90060043,49.91437531,49.92818069,49.94184113,49.95518494,49.9680748,49.9804306,49.99226065,50.00362819
Egypt,EGY,818,Middle East & North Africa,Lower middle income,country,49.88838577,49.86306381,49.84028625,49.82289505,49.81247711,49.80949783,49.81250381,49.81888199,49.82533646,49.82977295,49.83114243,49.83031464,49.82936478,49.83112335,49.83716202,49.84801483,49.86204529,49.87608719,49.88613892,49.88965607,49.88627243,49.87734985,49.86433411,49.84922791,49.83359146,49.81732559,49.80051041,49.78488922,49.77243805,49.76421738,49.76117325,49.76238251,49.76486969,49.7647171,49.75950623,49.74832153,49.73280334,49.71622467,49.70293427,49.69582367,49.6954155,49.70038605,49.70937347,49.72039795,49.73192978,49.74399948,49.75665283,49.76851273,49.77797318,49.78410339,49.78639221,49.78553768,49.7833587
El Salvador,SLV,222,Latin America & Caribbean,Lower middle income,country,50.58448029,50.5579071,50.52742767,50.49326324,50.45648956,50.41607285,50.37458801,50.34028625,50.32308578,50.32870102,50.35878372,50.40891647,50.47141266,50.53633499,50.59721756,50.65186691,50.70248032,50.752388,50.8063736,50.86725616,50.93621445,51.01065063,51.08513641,51.15251541,51.20815659,51.25026703,51.28140259,51.30653,51.33249283,51.36390305,51.40238571,51.44616318,51.49242783,51.53729248,51.57862473,51.61532593,51.64944839,51.68559265,51.72990036,51.78625107,51.85635757,51.93780136,52.02515411,52.11074829,52.18893814,52.25793076,52.31909561,52.37386703,52.42483139,52.47395706,52.52122498,52.56598206,52.60886681
Equatorial Guinea,GNQ,226,Sub-Saharan Africa,High income: nonOECD,country,51.02900696,51.03628922,51.04180145,51.04384232,51.04202652,51.03495789,51.02427292,51.01592636,51.01638794,51.03005981,51.05418777,51.08588028,51.13043976,51.19386673,51.27624893,51.3943634,51.53739548,51.63391495,51.58175659,51.32712936,50.87190628,50.31143188,49.77030182,49.34774017,49.0737648,48.93421173,48.89042664,48.9064064,48.93819427,48.95747375,48.95941544,48.95264435,48.93961334,48.92456818,48.91055298,48.89688492,48.88136292,48.86361313,48.84311676,48.82000351,48.79403305,48.76631927,48.74048615,48.72035599,48.70851898,48.70534515,48.70954132,48.71897125,48.73125839,48.74448395,48.75837326,48.77318361,48.78866177
Eritrea,ERI,232,Sub-Saharan Africa,Low income,country,50.58040619,50.57794952,50.57683945,50.57795715,50.58165741,50.58808517,50.59667969,50.60600281,50.61429977,50.62045288,50.62425995,50.62590027,50.62519073,50.62198639,50.6163063,50.60807419,50.59760666,50.58571243,50.57341766,50.56134415,50.55075836,50.54148865,50.53145599,50.51801682,50.50016022,50.47584915,50.44753265,50.42298889,50.41148376,50.41788483,50.44513321,50.48890686,50.53787613,50.575634,50.59046555,50.57829666,50.54473495,50.49940872,50.45507813,50.41984177,50.39534378,50.3780365,50.36410141,50.34836578,50.32776642,50.30200195,50.27277374,50.24154663,50.21037674,50.18070221,50.15286255,50.12639208,50.10093737
Estonia,EST,233,Europe & Central Asia,High income: OECD,country,55.68624878,55.50567245,55.31839752,55.13359451,54.95774078,54.79151917,54.63425446,54.4896431,54.36179352,54.25301361,54.16474915,54.09519958,54.03915787,53.98974228,53.94171906,53.8934021,53.8454895,53.79812622,53.752285,53.70844269,53.66848373,53.63179779,53.59389496,53.54906464,53.4946022,53.42647934,53.34951782,53.27984238,53.23808289,53.23754883,53.28498077,53.37515259,53.49337387,53.61497879,53.71871567,53.79597473,53.84966278,53.88187027,53.89941788,53.90804672,53.90730286,53.89508057,53.87355804,53.84570313,53.81416702,53.77964783,53.7430191,53.70718002,53.67534637,53.64984894,53.63237381,53.62223403,53.61642757
Ethiopia,ETH,231,Sub-Saharan Africa,Low income,country,50.28741074,50.28245163,50.27774429,50.27305222,50.26821136,50.26334,50.25849152,50.25342941,50.24788666,50.24180222,50.23501205,50.22784805,50.2212677,50.21636581,50.21373749,50.21321487,50.21424866,50.21651459,50.21953201,50.22271347,50.22651672,50.23045349,50.23215866,50.22887039,50.21924973,50.20262527,50.18076324,50.15760422,50.13795471,50.12468338,50.11840057,50.11727142,50.11862183,50.11909103,50.11655045,50.11079025,50.10270691,50.09282303,50.08193588,50.07067108,50.05913925,50.04735947,50.03571701,50.02461243,50.01435089,50.00498962,49.99658203,49.98936462,49.98358917,49.97937393,49.97676086,49.97558511,49.97551773
Faeroe Islands,FRO,234,Europe & Central Asia,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,242,East Asia & Pacific,Upper middle income,country,48.52856064,48.63085175,48.76802063,48.89666367,48.99026489,49.0442543,49.07165527,49.0860672,49.10616684,49.14327621,49.2002449,49.26945114,49.33993149,49.39722443,49.43218231,49.44257355,49.43318558,49.41199112,49.38949585,49.37300873,49.36463547,49.36166,49.35995483,49.35422134,49.34104919,49.31947708,49.29156876,49.26062775,49.23166275,49.20854187,49.19186401,49.18061829,49.17481613,49.17431259,49.1784935,49.18848801,49.203125,49.21635437,49.22012329,49.20969391,49.18301392,49.14283371,49.09510803,49.04840851,49.00946426,48.97978592,48.95857239,48.94750214,48.94771576,48.95957184,48.98406601,49.02028255,49.06391696
Finland,FIN,246,Europe & Central Asia,High income: OECD,country,51.80560684,51.77493286,51.74858093,51.72755432,51.71229553,51.70349503,51.70042419,51.7005043,51.70021439,51.69703674,51.68972397,51.67911911,51.66730881,51.65735245,51.65126038,51.64962387,51.65122223,51.65393829,51.6547966,51.65169525,51.64386749,51.63195801,51.6169548,51.60033798,51.58314896,51.56579971,51.54781342,51.52820587,51.50566483,51.4794426,51.44916916,51.41569901,51.38093567,51.34733963,51.31659698,51.28931427,51.26486206,51.24212265,51.2194519,51.19565582,51.17060852,51.14470291,51.11805344,51.09090042,51.06349945,51.035923,51.0083313,50.98124313,50.95524216,50.93076324,50.90798187,50.8869428,50.86770544
France,FRA,250,Europe & Central Asia,High income: OECD,country,51.45864105,51.41691589,51.37743759,51.34206772,51.31168365,51.28846359,51.27153397,51.25529861,51.23230743,51.19847488,51.14967728,51.09046173,51.03546906,51.00397491,51.00817871,51.05361176,51.13303375,51.23011398,51.32168961,51.39115143,51.43315125,51.45293808,51.45740891,51.45758438,51.46140289,51.47003937,51.48073196,51.49277496,51.50461578,51.51514435,51.5248642,51.53454971,51.54368973,51.55158997,51.55791092,51.56183243,51.56387329,51.56653595,51.57317734,51.58581543,51.60551453,51.63048935,51.65652084,51.67796707,51.69096756,51.69442368,51.68968201,51.67837906,51.66312408,51.64592743,51.62714005,51.60651474,51.58479968
French Polynesia,PYF,258,East Asia & Pacific,High income: nonOECD,country,48.61968231,48.64321899,48.65901184,48.67860413,48.70612335,48.74599457,48.79087448,48.82816696,48.83864594,48.81352997,48.75121307,48.66036987,48.55379868,48.44840622,48.35360718,48.27412033,48.20655823,48.14413452,48.07772064,48.00266266,47.91602707,47.82419586,47.74380875,47.69508743,47.6896019,47.73225784,47.81193542,47.9071579,47.98892212,48.0410347,48.05662918,48.04524612,48.0256691,48.02395248,48.05576324,48.12524414,48.22199631,48.33172607,48.43489838,48.51875687,48.581707,48.62874985,48.66256714,48.68810272,48.70921707,48.72560883,48.73733139,48.74789429,48.7623024,48.78331757,48.81236267,48.84848839,48.88903338
Gabon,GAB,266,Sub-Saharan Africa,Upper middle income,country,51.21823502,51.2572937,51.313591,51.39325333,51.49755478,51.62937546,51.77979279,51.92539215,52.03736496,52.09864807,52.10390854,52.06277847,51.99117661,51.91101074,51.83793259,51.77528,51.71882248,51.66655731,51.61460114,51.56031799,51.50438309,51.44865417,51.39324951,51.33846283,51.28440475,51.23041916,51.17650604,51.12395859,51.07433701,51.02814865,50.98612976,50.9467659,50.90579987,50.85792542,50.80006409,50.73157883,50.65481949,50.57362747,50.49305344,50.41627121,50.34442139,50.27658463,50.21195984,50.14916992,50.08753204,50.02693176,49.96835709,49.91371155,49.86515427,49.8239975,49.79059601,49.76380827,49.74173167
Gambia,GMB,270,Sub-Saharan Africa,Low income,country,50.69544601,50.56358719,50.40481186,50.20909882,49.97617722,49.70160294,49.4021759,49.12328339,48.92106628,48.82948685,48.85319901,48.97015762,49.15159607,49.36143875,49.57357025,49.78514481,49.99501801,50.18280029,50.32632446,50.41158676,50.43835068,50.41561127,50.35188675,50.25938034,50.14984512,50.02452469,49.89131165,49.77202225,49.68915558,49.653965,49.66755295,49.7205162,49.80024719,49.89021683,49.97832489,50.06277847,50.14498901,50.22104263,50.28701401,50.34076309,50.38079453,50.40810013,50.42668152,50.44132996,50.45557022,50.47000504,50.48371887,50.4963913,50.50738907,50.51629257,50.52329636,50.52888386,50.53331423
Georgia,GEO,268,Europe & Central Asia,Lower middle income,country,53.38853455,53.3354187,53.28335953,53.23391342,53.18821716,53.14639664,53.10862732,53.07596207,53.04965973,53.03047943,53.01778412,53.01076126,53.00959396,53.01451111,53.02488708,53.04171371,53.06282806,53.0807457,53.08582687,53.07167435,53.03680038,52.98444366,52.91905594,52.8472023,52.77440643,52.70114136,52.62834167,52.56195831,52.50846481,52.47186661,52.45412445,52.45394135,52.46783066,52.48997116,52.51554871,52.54312515,52.5733223,52.60536575,52.63899231,52.67387009,52.70944214,52.74456787,52.77758408,52.80651474,52.82979584,52.8462677,52.85608292,52.86077881,52.86273193,52.86380386,52.86452866,52.86461835,52.86405223
Germany,DEU,276,Europe & Central Asia,High income: OECD,country,53.495327,53.37263489,53.23584366,53.10455322,52.99240112,52.90265656,52.83138275,52.77563095,52.73009491,52.69060898,52.65742493,52.63129807,52.60910416,52.5869751,52.56220245,52.53185654,52.49631882,52.46012497,52.42998123,52.40991592,52.40288925,52.40507126,52.40551376,52.38916016,52.34572601,52.27188492,52.17267609,52.0566864,51.93637466,51.82134628,51.71353912,51.61220551,51.52062225,51.44163895,51.37670135,51.32728577,51.29240036,51.26774216,51.24730682,51.22663879,51.20435715,51.18125534,51.15769196,51.13467026,51.11280441,51.09197235,51.07139969,51.05035019,51.02792358,51.00362015,50.97711563,50.94890018,50.9203373
Ghana,GHA,288,Sub-Saharan Africa,Lower middle income,country,49.16960907,49.15415573,49.14038849,49.12727737,49.11429596,49.10083389,49.08747864,49.07632828,49.07009506,49.07036972,49.07754135,49.09010315,49.10556793,49.12093735,49.13432693,49.14531708,49.15449142,49.16229248,49.1693573,49.17603683,49.18335342,49.19105148,49.19700623,49.19873428,49.19540405,49.18531799,49.17097092,49.16020203,49.16264343,49.18361282,49.22678375,49.28730774,49.35250473,49.40658188,49.44073486,49.45136642,49.44599152,49.44009781,49.45355988,49.49861908,49.57540512,49.6758728,49.79302597,49.91759872,50.04183578,50.16653442,50.28932953,50.3972168,50.47515869,50.51475143,50.51314163,50.47725221,50.42061645
Greece,GRC,300,Europe & Central Asia,High income: OECD,country,51.23053741,51.2771225,51.32474899,51.36011505,51.3740654,51.36316299,51.3311615,51.28503418,51.23498535,51.18844604,51.14696503,51.10878754,51.07408142,51.04236984,51.0133934,50.98807144,50.96686554,50.94836044,50.93050385,50.91178513,50.89158249,50.8702774,50.84851837,50.82745361,50.80788803,50.79016495,50.77390289,50.7584343,50.74282455,50.72657394,50.70959473,50.69252014,50.67639923,50.66251755,50.65172958,50.64392853,50.63880539,50.63676071,50.63822556,50.64329147,50.65228271,50.6645546,50.67799759,50.689785,50.69784164,50.70134354,50.70072937,50.69672394,50.69057846,50.68327332,50.67488861,50.66518563,50.6544039
Greenland,GRL,304,Europe & Central Asia,High income: nonOECD,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,308,Latin America & Caribbean,Upper middle income,country,53.49550629,53.37791061,53.25642014,53.14141083,53.04137421,52.95748138,52.88641739,52.82318878,52.75976563,52.69088364,52.61414337,52.53201675,52.4442215,52.35155869,52.25357819,52.14852142,52.03632355,51.91871643,51.80025101,51.68868637,51.59039307,51.5065918,51.42996979,51.35005951,51.25767136,51.14632797,51.01779938,50.88157654,50.75512695,50.65533829,50.58835602,50.55091858,50.53610229,50.53469086,50.53813934,50.54664993,50.55920792,50.5705719,50.57225418,50.55796051,50.52577972,50.47649765,50.41565323,50.35214996,50.29188538,50.23629761,50.18342209,50.13373947,50.08629227,50.04059982,49.99714661,49.95591707,49.91737254
Guam,GUM,316,East Asia & Pacific,High income: nonOECD,country,41.99609375,42.31183624,42.51006317,42.67604828,42.86955261,43.10346985,43.36492157,43.65299988,43.95797348,44.27396393,44.59686279,44.92892456,45.27793503,45.65391159,46.05587387,46.49319458,46.94591522,47.3631897,47.67982864,47.85702515,47.88986206,47.80600739,47.64059067,47.43903732,47.23871231,47.04022598,46.84721756,46.69425964,46.62144852,46.65241241,46.79340744,47.02551651,47.31369019,47.61144638,47.88749695,48.13791656,48.36799622,48.57067871,48.73758698,48.8649826,48.94800568,48.98976898,49.00363159,49.01007462,49.0230484,49.04720688,49.0788269,49.11565781,49.15175247,49.18276596,49.20861816,49.23161968,49.25147162
Guatemala,GTM,320,Latin America & Caribbean,Lower middle income,country,49.34584808,49.34484863,49.34529877,49.34692383,49.34949875,49.35289383,49.35702133,49.36185074,49.36734009,49.37342453,49.3801651,49.38743591,49.39482498,49.4018364,49.40823746,49.41395569,49.41930389,49.42492676,49.43159485,49.43982315,49.45196152,49.46810913,49.4845314,49.49642944,49.5019989,49.49868011,49.49129105,49.49347687,49.52218246,49.58734512,49.69083786,49.82494736,49.97789764,50.13450623,50.28400421,50.42377853,50.55521393,50.67695618,50.78837585,50.8888855,50.97755051,51.05364227,51.11727142,51.16890717,51.20921707,51.23878098,51.25833893,51.26901245,51.27206421,51.26871109,51.2595253,51.24547905,51.22853637
Guinea,GIN,324,Sub-Saharan Africa,Low income,country,50.55458832,50.5789566,50.5998497,50.61768723,50.63280487,50.64523697,50.65528488,50.66380692,50.67184448,50.68014145,50.68911362,50.69849014,50.70731735,50.71424103,50.7182579,50.71896362,50.71665192,50.71191788,50.70569992,50.69869232,50.69089127,50.68198395,50.6718483,50.66023636,50.64692688,50.63204956,50.61545944,50.5963974,50.57421875,50.54903412,50.52171326,50.49325562,50.46395111,50.43340683,50.4009819,50.36619568,50.32896042,50.28940201,50.2482338,50.20640945,50.16400146,50.12148285,50.08099747,50.04516602,50.01572037,49.99347305,49.9776001,49.96612549,49.95636749,49.94648361,49.93605804,49.92558469,49.91532278
Guinea-Bissau,GNB,624,Sub-Saharan Africa,Low income,country,50.33760071,50.32969284,50.32307053,50.31811142,50.31515121,50.3142128,50.31511688,50.31748581,50.32053757,50.32388306,50.32720947,50.33046341,50.33426285,50.33921432,50.34571457,50.35404205,50.36392593,50.37486267,50.38591766,50.39632034,50.40563965,50.41410828,50.42202377,50.43008423,50.43873978,50.44770813,50.45681,50.4661293,50.47576523,50.48560715,50.49547577,50.50488663,50.51297379,50.51895905,50.52194977,50.52266693,50.52095032,50.51488113,50.50219727,50.48181534,50.45308304,50.41796494,50.38127899,50.3490448,50.32503891,50.31036377,50.30326843,50.30120087,50.30063248,50.29912567,50.29626465,50.29292637,50.2893053
Guyana,GUY,328,Latin America & Caribbean,Lower middle income,country,50.1730957,50.18211365,50.19472504,50.20743942,50.21801758,50.22576904,50.23164749,50.23714066,50.24451065,50.25512695,50.26963806,50.28754044,50.30734634,50.32675552,50.34444809,50.35942078,50.37263107,50.38661194,50.40460968,50.42919159,50.45960617,50.49481964,50.53598022,50.5843811,50.63973236,50.70477295,50.77607727,50.83983994,50.8767395,50.87339783,50.82328796,50.7322197,50.61518097,50.49328995,50.38234711,50.28602982,50.20114136,50.12691116,50.06099319,50.00087357,49.94950867,49.90694427,49.86438751,49.81048584,49.73805237,49.64311218,49.5309639,49.41533279,49.31483841,49.24185181,49.20063782,49.18597531,49.18992062
Haiti,HTI,332,Latin America & Caribbean,Low income,country,50.8544693,50.82887268,50.80644989,50.78733444,50.77159119,50.75891113,50.74928284,50.74329758,50.74172211,50.74477005,50.75257492,50.76412582,50.77721405,50.78900146,50.7975502,50.80207825,50.80310059,50.80147171,50.79854965,50.79520416,50.79174042,50.78768158,50.78213882,50.77399063,50.76261902,50.74789429,50.73052216,50.71183014,50.69343185,50.67646027,50.66137314,50.64790344,50.63540268,50.62299347,50.6101799,50.59684372,50.58354187,50.57117844,50.56097031,50.55364609,50.54924393,50.54738617,50.54786682,50.55036926,50.55454254,50.5604744,50.5678978,50.57567978,50.58243179,50.58724213,50.58974075,50.5903266,50.58981081
High income,HIC,997,,,aggregate,51.71986616,51.68752833,51.65665478,51.63046394,51.61153741,51.59918348,51.59364077,51.59140017,51.58478421,51.5704564,51.5459396,51.5149923,51.48291915,51.4565629,51.44214692,51.44309689,51.45473222,51.47142691,51.48448282,51.4892233,51.48333856,51.46908944,51.44842761,51.42486447,51.40026453,51.37463777,51.34770024,51.32041175,51.29331244,51.26682867,51.24058635,51.22555022,51.20441884,51.18771105,51.16218456,51.15602874,51.15490821,51.15648976,51.15655982,51.15226771,51.14373924,51.13161235,51.11499143,51.09361892,51.06795752,51.03750881,51.00341691,50.96688774,50.9300655,50.89554132,50.86299121,50.83091306,50.80122075
High income: nonOECD,NOC,995,,,aggregate,54.28203617,54.16955361,54.06270895,53.96799267,53.88779003,53.8214466,53.76572564,53.71833884,53.67261411,53.62175599,53.56619917,53.50663484,53.43909587,53.362936,53.27503836,53.17801224,53.0702285,52.9562811,52.8385059,52.73033113,52.62897996,52.53568261,52.4467434,52.35676908,52.26124699,52.15807706,52.05071146,51.94482541,51.84624368,51.75910735,51.68227146,51.67414528,51.62817395,51.60557664,51.52614879,51.55294932,51.60373596,51.66433059,51.71270025,51.73403344,51.72590954,51.69237133,51.63082795,51.54107514,51.42764418,51.28950278,51.1316939,50.96420349,50.79882314,50.65085374,50.51724454,50.39287773,50.28199414
